question,correctAnswer,wrongAnswer1,wrongAnswer2,wrongAnswer3,difficulty,topic,explanation
"ถ้า sin θ = 3/5 แล้ว cos θ มีค่าเท่าใด",4/5,3/4,5/3,5/4,medium,อัตราส่วนตรีโกณมิติ,"ใช้เอกลักษณ์ sin²θ + cos²θ = 1 ได้ cos²θ = 1 - 9/25 = 16/25 ดังนั้น cos θ = 4/5"
"tan 45° มีค่าเท่าใด",1,0,√2,√3,easy,อัตราส่วนตรีโกณมิติ,"tan 45° = sin 45°/cos 45° = (√2/2)/(√2/2) = 1"
"sin 30° มีค่าเท่าใด",1/2,√2/2,√3/2,1,easy,อัตราส่วนตรีโกณมิติ,"sin 30° = 1/2 เป็นค่าพื้นฐานที่ต้องจำ"
"cos 60° มีค่าเท่าใด",1/2,√3/2,√2/2,0,easy,อัตราส่วนตรีโกณมิติ,"cos 60° = 1/2 เป็นค่าพื้นฐานที่ต้องจำ"
"tan 60° มีค่าเท่าใด",√3,1,√2,1/√3,medium,อัตราส่วนตรีโกณมิติ,"tan 60° = sin 60°/cos 60° = (√3/2)/(1/2) = √3"
"ถ้ามีลูกบอล 5 สี แตกต่างกัน ต้องการเลือกมา 3 ลูก จะเลือกได้กี่วิธี",10,15,60,120,medium,การจัดหมู่,ใช้สูตร C(5,3) = 5!/(3!×2!) = 10
"การจัดเรียง 4 คนเข้าแถวเรียงเดี่ยว มีกี่วิธี",24,4,16,12,easy,การจัดหมู่,4! = 4×3×2×1 = 24
"โยนเหรียญ 3 ครั้ง ความน่าจะเป็นที่จะได้หัวทั้ง 3 ครั้งเป็นเท่าใด",1/8,1/4,1/2,3/8,medium,ความน่าจะเป็น,"P = (1/2)³ = 1/8"
"สุ่มหยิบไพ่ 1 ใบจากสำรับ 52 ใบ ความน่าจะเป็นที่จะได้ไพ่โพดำเป็นเท่าใด",1/4,1/2,1/13,1/52,easy,ความน่าจะเป็น,"ไพ่โพดำมี 13 ใบ P = 13/52 = 1/4"
"ถ้า A และ B เป็นเหตุการณ์อิสระ P(A∩B) เท่ากับอะไร",P(A) × P(B),P(A) + P(B),P(A) - P(B),P(A)/P(B),medium,ความน่าจะเป็น,"สำหรับเหตุการณ์อิสระ P(A∩B) = P(A) × P(B)"
"จำนวนจริงที่สอดคล้องกับ x² = 9 มีกี่จำนวน",2,1,3,ไม่มี,easy,จำนวนจริง,"x² = 9 มีคำตอบคือ x = 3 และ x = -3"
"√(-4) เป็นจำนวนชนิดใด",จำนวนจินตภาพ,จำนวนจริง,จำนวนอตรรกยะ,จำนวนตรรกยะ,easy,จำนวนจริง,"√(-4) = 2i ซึ่งเป็นจำนวนจินตภาพ ไม่ใช่จำนวนจริง"
"จำนวนตรรกยะคืออะไร",จำนวนที่เขียนในรูปเศษส่วนของจำนวนเต็มได้,จำนวนที่ไม่รู้จบ,จำนวนเฉพาะ,จำนวนคู่,medium,จำนวนจริง,"จำนวนตรรกยะคือจำนวนที่เขียนในรูป p/q โดย p, q เป็นจำนวนเต็มและ q ≠ 0"
"π เป็นจำนวนชนิดใด",จำนวนอตรรกยะ,จำนวนตรรกยะ,จำนวนเต็ม,จำนวนจินตภาพ,easy,จำนวนจริง,"π ไม่สามารถเขียนในรูปเศษส่วนของจำนวนเต็มได้ จึงเป็นจำนวนอตรรกยะ"
"|x - 3| < 5 มีคำตอบอยู่ในช่วงใด","-2 < x < 8","-5 < x < 3","0 < x < 5","-8 < x < 2",medium,จำนวนจริง,"|x - 3| < 5 หมายความว่า -5 < x - 3 < 5 ดังนั้น -2 < x < 8"
