question,correctAnswer,wrongAnswer1,wrongAnswer2,wrongAnswer3,difficulty,topic,explanation
"เซลล์พืชและเซลล์สัตว์มีโครงสร้างใดเหมือนกัน",ไมโทคอนเดรีย,ผนังเซลล์,คลอโรพลาสต์,แวคิวโอลขนาดใหญ่,easy,เซลล์,"ไมโทคอนเดรียเป็นออร์แกเนลล์ที่พบได้ทั้งในเซลล์พืชและสัตว์"
"กระบวนการสังเคราะห์ด้วยแสงเกิดขึ้นที่ใด",คลอโรพลาสต์,ไมโทคอนเดรีย,ไรโบโซม,นิวเคลียส,easy,การสังเคราะห์แสง,"คลอโรพลาสต์มีคลอโรฟิลล์ซึ่งใช้ในการสังเคราะห์ด้วยแสง"
"การแบ่งเซลล์แบบไมโทซิสได้เซลล์ลูกกี่เซลล์",2 เซลล์,4 เซลล์,1 เซลล์,8 เซลล์,easy,การแบ่งเซลล์,"ไมโทซิสแบ่งเซลล์หนึ่งเป็นสองเซลล์ที่มีโครโมโซมเท่าเดิม"
"การแบ่งเซลล์แบบไมโอซิสเกิดขึ้นที่ใด",เซลล์สืบพันธุ์,เซลล์ผิวหนัง,เซลล์กล้ามเนื้อ,เซลล์ประสาท,medium,การแบ่งเซลล์,"ไมโอซิสเกิดในเซลล์สืบพันธุ์เพื่อลดจำนวนโครโมโซมลงครึ่งหนึ่ง"
"DNA ย่อมาจากอะไร",Deoxyribonucleic acid,Ribonucleic acid,Deoxyribose acid,Dinitrogen acid,medium,พันธุศาสตร์,"DNA = Deoxyribonucleic acid เป็นสารพันธุกรรมหลัก"
"ฮอร์โมนอินซูลินสร้างจากอวัยวะใด",ตับอ่อน,ต่อมไทรอยด์,ต่อมหมวกไต,ต่อมใต้สมอง,medium,ระบบต่อมไร้ท่อ,"เซลล์เบต้าในตับอ่อนผลิตอินซูลินเพื่อควบคุมน้ำตาลในเลือด"
"การหายใจแบบใช้ออกซิเจนเกิดขึ้นที่ใดในเซลล์",ไมโทคอนเดรีย,คลอโรพลาสต์,ไซโทพลาซึม,นิวเคลียส,easy,การหายใจระดับเซลล์,"ไมโทคอนเดรียเป็นแหล่งผลิต ATP จากการหายใจแบบใช้ออกซิเจน"
"โครโมโซมของมนุษย์ปกติมีกี่แท่ง",46 แท่ง,23 แท่ง,44 แท่ง,48 แท่ง,easy,พันธุศาสตร์,"มนุษย์มี 23 คู่ = 46 แท่ง (22 คู่ออโตโซม + 1 คู่โครโมโซมเพศ)"
"ลักษณะที่ถ่ายทอดทางพันธุกรรมเรียกว่าอะไร",ลักษณะทางพันธุกรรม,ลักษณะเด่น,ลักษณะด้อย,ลักษณะกลาย,easy,พันธุศาสตร์,"ลักษณะที่ถ่ายทอดจากรุ่นพ่อแม่สู่ลูกหลาน"
"พืชใช้ก๊าซใดในการสังเคราะห์ด้วยแสง",คาร์บอนไดออกไซด์,ออกซิเจน,ไนโตรเจน,ไฮโดรเจน,easy,การสังเคราะห์แสง,"พืชใช้ CO₂ + H₂O + แสง → กลูโคส + O₂"
"เอนไซม์มีหน้าที่อะไร",เร่งปฏิกิริยาเคมี,สร้างพลังงาน,ขนส่งสาร,เก็บข้อมูลพันธุกรรม,medium,ชีวเคมี,"เอนไซม์เป็นตัวเร่งปฏิกิริยาทางชีวภาพ ทำให้ปฏิกิริยาเกิดเร็วขึ้น"
"ATP ย่อมาจากอะไร",Adenosine triphosphate,Adenine triphosphate,Amino triphosphate,Acid triphosphate,medium,ชีวเคมี,"ATP เป็นโมเลกุลพลังงานหลักของเซลล์"
"ดาวเคราะห์ดวงใดใกล้ดวงอาทิตย์ที่สุด",ดาวพุธ,ดาวศุกร์,โลก,ดาวอังคาร,easy,ดาราศาสตร์,"ดาวพุธอยู่ใกล้ดวงอาทิตย์ที่สุดในระบบสุริยะ"
"สุริยุปราคาเกิดขึ้นเมื่อใด",เมื่อดวงจันทร์บังดวงอาทิตย์,เมื่อโลกบังดวงจันทร์,เมื่อดวงอาทิตย์บังดวงจันทร์,เมื่อดาวเคราะห์เรียงตัว,medium,ดาราศาสตร์,"สุริยุปราคาเกิดเมื่อดวงจันทร์อยู่ระหว่างโลกกับดวงอาทิตย์"
"ชั้นโอโซนอยู่ในชั้นบรรยากาศใด",สตราโตสเฟียร์,โทรโพสเฟียร์,มีโซสเฟียร์,เทอร์โมสเฟียร์,medium,โลกและอวกาศ,"ชั้นโอโซนอยู่ในสตราโตสเฟียร์ ป้องกันรังสี UV"
