question,correctAnswer,wrongAnswer1,wrongAnswer2,wrongAnswer3,difficulty,topic,explanation
"อาณาจักรสุโขทัยก่อตั้งขึ้นในปี พ.ศ. ใด",พ.ศ. 1792,พ.ศ. 1893,พ.ศ. 1700,พ.ศ. 1850,medium,ประวัติศาสตร์ไทย,"พ่อขุนศรีอินทราทิตย์ก่อตั้งอาณาจักรสุโขทัยในปี พ.ศ. 1792"
"พ่อขุนรามคำแหงมหาราชทรงประดิษฐ์อะไร",อักษรไทย,พระไตรปิฎก,ศิลาจารึก,เครื่องปั้นดินเผา,easy,ประวัติศาสตร์ไทย,"พ่อขุนรามคำแหงทรงประดิษฐ์อักษรไทยขึ้นในปี พ.ศ. 1826"
"กรุงศรีอยุธยาสถาปนาขึ้นในปี พ.ศ. ใด",พ.ศ. 1893,พ.ศ. 1792,พ.ศ. 2000,พ.ศ. 1800,medium,ประวัติศาสตร์ไทย,"สมเด็จพระรามาธิบดีที่ 1 (พระเจ้าอู่ทอง) ทรงสถาปนากรุงศรีอยุธยาใน พ.ศ. 1893"
"สงครามยุทธหัตถีเกิดในรัชสมัยใด",สมเด็จพระนเรศวรมหาราช,สมเด็จพระนารายณ์มหาราช,พระเจ้าตากสินมหาราช,รัชกาลที่ 5,medium,ประวัติศาสตร์ไทย,"สงครามยุทธหัตถี พ.ศ. 2135 สมเด็จพระนเรศวรทรงกระทำยุทธหัตถีกับพระมหาอุปราชา"
"กรุงธนบุรีสถาปนาโดยพระมหากษัตริย์พระองค์ใด",พระเจ้าตากสินมหาราช,รัชกาลที่ 1,สมเด็จพระนเรศวร,สมเด็จพระนารายณ์,easy,ประวัติศาสตร์ไทย,"หลังกรุงศรีอยุธยาเสียแก่พม่า พระเจ้าตากสินทรงกอบกู้เอกราชและสถาปนากรุงธนบุรี"
"รัชกาลที่ 5 ทรงยกเลิกระบบใด",ระบบทาส,ระบบศักดินา,ระบบมูลนาย,ระบบเจ้าขุนมูลนาย,easy,ประวัติศาสตร์ไทย,"พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัวทรงยกเลิกระบบทาสอย่างเด็ดขาดใน พ.ศ. 2448"
"สนธิสัญญาเบาว์ริงลงนามในรัชสมัยใด",รัชกาลที่ 4,รัชกาลที่ 3,รัชกาลที่ 5,รัชกาลที่ 6,medium,ประวัติศาสตร์ไทย,"สนธิสัญญาเบาว์ริง พ.ศ. 2398 ในรัชสมัยพระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว"
"ประเทศไทยเปลี่ยนแปลงการปกครองในปี พ.ศ. ใด",พ.ศ. 2475,พ.ศ. 2453,พ.ศ. 2500,พ.ศ. 2480,easy,ประวัติศาสตร์ไทย,"คณะราษฎรเปลี่ยนแปลงการปกครองจากสมบูรณาญาสิทธิราชย์เป็นประชาธิปไตย"
"รัฐธรรมนูญฉบับแรกของไทยประกาศใช้ในปี พ.ศ. ใด",พ.ศ. 2475,พ.ศ. 2453,พ.ศ. 2480,พ.ศ. 2500,medium,การเมืองการปกครอง,"รัฐธรรมนูญแห่งราชอาณาจักรสยาม พ.ศ. 2475 เป็นฉบับแรก"
"องค์กรใดทำหน้าที่ตรากฎหมาย",รัฐสภา,ศาล,คณะรัฐมนตรี,ประธานาธิบดี,easy,การเมืองการปกครอง,"รัฐสภาประกอบด้วยสภาผู้แทนราษฎรและวุฒิสภา มีหน้าที่ตรากฎหมาย"
"สิทธิมนุษยชนหมายถึงอะไร",สิทธิขั้นพื้นฐานที่มนุษย์ทุกคนพึงมี,สิทธิของพลเมือง,สิทธิในการเลือกตั้ง,สิทธิในการทำงาน,medium,สังคมวิทยา,"สิทธิมนุษยชนเป็นสิทธิที่ติดตัวมนุษย์มาตั้งแต่เกิด ไม่สามารถพรากไปได้"
"เศรษฐกิจพอเพียงเป็นปรัชญาของพระมหากษัตริย์พระองค์ใด",รัชกาลที่ 9,รัชกาลที่ 5,รัชกาลที่ 7,รัชกาลที่ 10,easy,เศรษฐศาสตร์,"ปรัชญาเศรษฐกิจพอเพียงเป็นแนวพระราชดำริของพระบาทสมเด็จพระเจ้าอยู่หัว รัชกาลที่ 9"
"GDP ย่อมาจากอะไร",Gross Domestic Product,Gross Domestic Price,General Domestic Product,Grand Domestic Product,medium,เศรษฐศาสตร์,"GDP = ผลิตภัณฑ์มวลรวมภายในประเทศ"
"อาเซียนมีประเทศสมาชิกกี่ประเทศ",10 ประเทศ,8 ประเทศ,12 ประเทศ,15 ประเทศ,easy,ภูมิศาสตร์,"อาเซียนมี 10 ประเทศสมาชิก ได้แก่ ไทย มาเลเซีย สิงคโปร์ อินโดนีเซีย ฟิลิปปินส์ บรูไน เวียดนาม ลาว พม่า กัมพูชา"
"ทวีปที่มีพื้นที่ใหญ่ที่สุดคือทวีปใด",เอเชีย,แอฟริกา,อเมริกาเหนือ,ยุโรป,easy,ภูมิศาสตร์,"ทวีปเอเชียมีพื้นที่ประมาณ 44.58 ล้านตารางกิโลเมตร"
