question,correctAnswer,wrongAnswer1,wrongAnswer2,wrongAnswer3,difficulty,topic,explanation
"คลื่นแม่เหล็กไฟฟ้าชนิดใดมีความยาวคลื่นสั้นที่สุด",รังสีแกมมา,รังสีเอกซ์,รังสีอัลตราไวโอเลต,คลื่นวิทยุ,medium,คลื่นแม่เหล็กไฟฟ้า,"รังสีแกมมามีความยาวคลื่นสั้นที่สุดและมีพลังงานสูงสุดในสเปกตรัมคลื่นแม่เหล็กไฟฟ้า"
"ความเร็วของคลื่นแม่เหล็กไฟฟ้าในสุญญากาศมีค่าเท่าใด","3 × 10^8 m/s","3 × 10^6 m/s","3 × 10^10 m/s","340 m/s",easy,คลื่นแม่เหล็กไฟฟ้า,"คลื่นแม่เหล็กไฟฟ้าทุกชนิดเดินทางด้วยความเร็วแสงในสุญญากาศ"
"คลื่นเสียงเป็นคลื่นชนิดใด",คลื่นตามยาว,คลื่นตามขวาง,คลื่นแม่เหล็กไฟฟ้า,คลื่นนิ่ง,easy,เสียงและการได้ยิน,"คลื่นเสียงเป็นคลื่นกล ที่อนุภาคของตัวกลางสั่นไปมาในทิศเดียวกับการเคลื่อนที่ของคลื่น"
"ความถี่ของเสียงที่มนุษย์ได้ยินอยู่ในช่วงใด","20 Hz - 20,000 Hz","1 Hz - 100 Hz","100 Hz - 1,000 Hz","20,000 Hz ขึ้นไป",medium,เสียงและการได้ยิน,"หูมนุษย์สามารถรับรู้เสียงที่มีความถี่ในช่วง 20-20,000 Hz"
"ปรากฏการณ์ดอปเพลอร์เกิดขึ้นเมื่อใด",เมื่อแหล่งกำเนิดหรือผู้สังเกตมีการเคลื่อนที่สัมพัทธ์กัน,เมื่อคลื่นเลี้ยวเบนผ่านช่องเปิด,เมื่อคลื่นสะท้อนกลับ,เมื่อคลื่นหักเห,medium,เสียงและการได้ยิน,"ปรากฏการณ์ดอปเพลอร์ทำให้ความถี่ที่ผู้สังเกตได้ยินเปลี่ยนไปจากความถี่จริง"
"แรงโน้มถ่วงระหว่างวัตถุสองชิ้นขึ้นอยู่กับปัจจัยใด",มวลของวัตถุทั้งสองและระยะห่าง,มวลอย่างเดียว,ระยะห่างอย่างเดียว,ความเร็วของวัตถุ,easy,แรงจากสนามโน้มถ่วง,"ตามกฎแรงโน้มถ่วงของนิวตัน F = Gm₁m₂/r²"
"สนามไฟฟ้ามีทิศทางอย่างไรรอบประจุบวก",ออกจากประจุ,เข้าหาประจุ,วนรอบประจุ,ไม่มีทิศทาง,easy,สนามไฟฟ้า,"เส้นสนามไฟฟ้าพุ่งออกจากประจุบวกและเข้าสู่ประจุลบ"
"หน่วยของสนามแม่เหล็กคืออะไร",เทสลา (T),นิวตัน (N),โวลต์ (V),แอมแปร์ (A),medium,สนามแม่เหล็ก,"เทสลาเป็นหน่วย SI ของความหนาแน่นฟลักซ์แม่เหล็ก"
"การเคลื่อนที่แบบโพรเจกไทล์มีลักษณะอย่างไร",เป็นการเคลื่อนที่แบบพาราโบลา,เป็นเส้นตรง,เป็นวงกลม,เป็นเกลียว,medium,การเคลื่อนที่ของวัตถุ,"วัตถุที่ถูกขว้างออกไปในมุมเฉียงจะเคลื่อนที่เป็นรูปพาราโบลาภายใต้แรงโน้มถ่วง"
"ความเร่งเนื่องจากแรงโน้มถ่วงบนผิวโลกมีค่าประมาณเท่าใด","9.8 m/s²","10 m/s","9.8 m/s","10 m/s²",easy,การเคลื่อนที่แนวตรง,"ค่า g บนผิวโลกประมาณ 9.8 m/s² หรือมักประมาณเป็น 10 m/s²"
"กฎการเคลื่อนที่ข้อที่สามของนิวตันกล่าวว่าอย่างไร",แรงกิริยาเท่ากับแรงปฏิกิริยาแต่ทิศตรงข้าม,วัตถุจะอยู่นิ่งหรือเคลื่อนที่ด้วยความเร็วคงที่,แรงลัพธ์เท่ากับมวลคูณความเร่ง,พลังงานไม่สูญหาย,medium,กลศาสตร์,"กฎข้อที่ 3: ทุกแรงกิริยามีแรงปฏิกิริยาที่มีขนาดเท่ากันแต่ทิศตรงข้าม"
