question,correctAnswer,wrongAnswer1,wrongAnswer2,wrongAnswer3,difficulty,topic,explanation
"คำว่า 'สมาชิก' เป็นคำยืมจากภาษาใด",บาลี-สันสกฤต,เขมร,จีน,อังกฤษ,medium,คำยืม,"สมาชิก มาจากคำว่า สมาสฺ (บาลี) + จิก (สันสกฤต)"
"คำราชาศัพท์ของ 'กิน' คือคำใด",เสวย,รับประทาน,ฉัน,บริโภค,easy,ราชาศัพท์,"เสวย เป็นราชาศัพท์สำหรับพระมหากษัตริย์"
"คำใดเป็นคำสมาส",ราชการ,บ้านเมือง,น้ำใจ,ต้นไม้,medium,คำสมาส,"ราชการ = ราช + การ เป็นการนำคำบาลี-สันสกฤตมารวมกัน"
"คำว่า 'โทรศัพท์' เป็นคำชนิดใด",คำประสม,คำมูล,คำซ้อน,คำซ้ำ,medium,ประเภทคำ,"โทรศัพท์ = โทร + ศัพท์ เป็นคำประสมจากคำสองคำ"
"'ขอให้โชคดี' เป็นประโยคชนิดใด",ประโยคขอร้อง,ประโยคบอกเล่า,ประโยคคำถาม,ประโยคปฏิเสธ,easy,ประโยค,"ประโยคที่ขึ้นต้นด้วย 'ขอ' เป็นประโยคขอร้อง"
"คำใดไม่ใช่คำกริยา",ความรัก,วิ่ง,เดิน,นอน,easy,ชนิดของคำ,"ความรัก เป็นคำนาม ส่วนคำอื่นเป็นคำกริยา"
"วรรณคดีเรื่องใดเป็นผลงานของสุนทรภู่",พระอภัยมณี,รามเกียรติ์,ขุนช้างขุนแผน,อิเหนา,easy,วรรณคดี,"พระอภัยมณี เป็นนิทานคำกลอนที่มีชื่อเสียงที่สุดของสุนทรภู่"
"'ลิลิต' เป็นคำประพันธ์ประเภทใด",ร้อยกรอง,ร้อยแก้ว,บทละคร,นิทาน,medium,คำประพันธ์,"ลิลิตเป็นร้อยกรองที่สลับระหว่างโคลงกับร่าย"
"คำใดเป็นคำไวพจน์ของ 'พระอาทิตย์'",สุริยา,จันทรา,ดารา,อัมพร,easy,คำไวพจน์,"สุริยา หมายถึง ดวงอาทิตย์"
"อักษรกลางมีกี่ตัว",9 ตัว,11 ตัว,14 ตัว,24 ตัว,medium,อักษรไทย,"อักษรกลาง: ก จ ฎ ฏ ด ต บ ป อ รวม 9 ตัว"
"อักษรสูงมีกี่ตัว",11 ตัว,9 ตัว,14 ตัว,24 ตัว,medium,อักษรไทย,"อักษรสูง: ข ฃ ฉ ฐ ถ ผ ฝ ศ ษ ส ห รวม 11 ตัว"
"คำว่า 'ฟ้า' ผันวรรณยุกต์ได้กี่เสียง",3 เสียง,4 เสียง,5 เสียง,2 เสียง,hard,วรรณยุกต์,"ฟ เป็นอักษรสูง คำเป็น ผันได้ 3 เสียง: ฟ่า ฟ้า ฟา"
"'เธอช่างน่ารักเหลือเกิน' เป็นประโยคชนิดใด",ประโยคอุทาน,ประโยคบอกเล่า,ประโยคคำถาม,ประโยคขอร้อง,medium,ประโยค,"ประโยคที่แสดงอารมณ์ความรู้สึกเป็นประโยคอุทาน"
"สำนวนใดหมายถึง 'ทำอะไรโดยไม่คิด'",มือไม่พาย เอาเท้าราน้ำ,น้ำขึ้นให้รีบตัก,ช้าๆ ได้พร้าเล่มงาม,ตำน้ำพริกละลายแม่น้ำ,hard,สำนวน,"'มือไม่พาย เอาเท้าราน้ำ' หมายถึง ไม่ช่วยทำงานแล้วยังขัดขวางอีก"
"'กระต่ายตื่นตูม' หมายถึงอะไร",ตกใจโดยไม่มีเหตุผล,วิ่งเร็วมาก,ขี้อาย,ฉลาดหลักแหลม,medium,สำนวน,"กระต่ายตื่นตูม หมายถึง ตกใจง่าย โดยไม่รู้ว่าอะไรเป็นอะไร"
