question,correctAnswer,wrongAnswer1,wrongAnswer2,wrongAnswer3,difficulty,topic,explanation
"Present Continuous Tense ใช้กับเหตุการณ์แบบใด",เหตุการณ์ที่กำลังเกิดขึ้นในขณะนี้,เหตุการณ์ในอดีต,เหตุการณ์ที่จะเกิดในอนาคต,ความจริงทั่วไป,easy,Tenses,"Present Continuous (is/am/are + V-ing) ใช้กับเหตุการณ์ที่กำลังเกิดขึ้น ณ ขณะพูด"
"She ___ to school every day.",goes,go,going,went,easy,Tenses,"ประธาน She ใช้กับ Present Simple Tense ต้องเติม s/es กับกริยา"
"I have ___ my homework.",finished,finish,finishing,finishes,medium,Tenses,"Present Perfect ใช้ have/has + V3 (past participle)"
"The book ___ by Shakespeare.",was written,wrote,written,is writing,medium,Passive Voice,"Passive Voice: subject + be + V3"
"If I ___ rich, I would buy a car.",were,am,was,is,medium,Conditionals,"Conditional Type 2 ใช้ If + past simple + would + V1"
"Which article should be used: ___ apple?",an,a,the,ไม่ต้องใส่,easy,Articles,"คำที่ขึ้นต้นด้วยเสียงสระใช้ an"
"The cat is sitting ___ the table.",on,in,at,by,easy,Prepositions,"on ใช้กับบนพื้นผิว"
"I'm looking forward ___ seeing you.",to,for,at,in,medium,Prepositions,"look forward to + V-ing"
"Neither John ___ Mary came to the party.",nor,or,and,but,medium,Conjunctions,"neither...nor ใช้คู่กัน หมายถึง ไม่...และไม่..."
"The movie was ___ than I expected.",better,good,best,well,easy,Comparatives,"better เป็นรูป comparative ของ good"
"This is the ___ book I have ever read.",best,better,good,more good,easy,Superlatives,"the best เป็นรูป superlative ของ good"
"I don't have ___ money.",any,some,many,a few,medium,Quantifiers,"any ใช้ในประโยคปฏิเสธและคำถาม"
"He asked me where I ___.",lived,live,living,lives,medium,Reported Speech,"Reported Speech เปลี่ยน tense ถอยหลัง live → lived"
"The man ___ is standing there is my father.",who,which,whom,whose,easy,Relative Clauses,"who ใช้แทนคนในฐานะประธาน"
"I wish I ___ fly.",could,can,will,should,medium,Wish Clauses,"Wish + past simple/could แสดงความปรารถนาที่ตรงข้ามกับปัจจุบัน"
